Classification,ID,observation_id,Mag,Magerr,MJD
Carbon,1002161320164145926,59760,14.3943,0.0572830350583996,53642.3751054863
Carbon,1002161320164145926,59761,14.398,0.0572631468050265,53642.3821916087
Carbon,1002161320164145926,59762,14.3811,0.0572207413345708,53642.3892706595
Carbon,1002161320164145926,59763,14.4085,0.0572682106075711,53642.39639347231
Carbon,1002161320164145926,59744,14.3672,0.0552966119013944,53647.421330833095
Carbon,1002161320164145926,59745,14.3632,0.0552951282833792,53647.4314632754
Carbon,1002161320164145926,59746,14.3578,0.0553528029042317,53647.441587743095
Carbon,1002161320164145926,59747,14.3703,0.0554139645199337,53647.4516767825
Carbon,1002161320164145926,59748,14.3661,0.0572037556860982,53657.3506393982
Carbon,1002161320164145926,59749,14.3685,0.0573123062294347,53657.3566894676
Carbon,1002161320164145926,59750,14.3651,0.0573099286940637,53657.362755972405
Carbon,1002161320164145926,59751,14.4008,0.0574813671621348,53657.371176065
Carbon,1002161320164145926,59752,14.3733,0.0565298467987178,53668.297575231605
Carbon,1002161320164145926,59753,14.3805,0.0565604758486221,53668.3086215048
Carbon,1002161320164145926,59754,14.3813,0.056577964280315,53668.319599942304
Carbon,1002161320164145926,59755,14.3739,0.0565150267590846,53668.33050118059
Carbon,1002161320164145926,59756,14.3594,0.0564871699518545,53673.324681933
Carbon,1002161320164145926,59757,14.3748,0.0565811328451057,53673.3285796992
Carbon,1002161320164145926,59758,14.3693,0.0565662323444889,53673.332450717695
Carbon,1002161320164145926,59759,14.3743,0.0566042722087415,53673.3363879514
Carbon,1002161320164145926,59732,14.3739,0.0566082959537631,53684.2600804977
Carbon,1002161320164145926,59733,14.3762,0.0565457863222482,53684.26558980349
Carbon,1002161320164145926,59734,14.3738,0.0566657594885579,53684.2711267709
Carbon,1002161320164145926,59735,14.3696,0.0565476780742387,53684.2766940626
Carbon,1002161320164145926,59736,14.3489,0.0564146879552909,53695.2419469329
Carbon,1002161320164145926,59737,14.3549,0.0564489566860879,53695.24995647
Carbon,1002161320164145926,59738,14.3511,0.0563939574192358,53695.257917858704
Carbon,1002161320164145926,59739,14.3565,0.0563970010218836,53695.26592544
Carbon,1002161320164145926,59740,14.3938,0.0563574638701761,53702.2931616781
Carbon,1002161320164145926,59741,14.3739,0.0564218464908034,53702.2985379975
Carbon,1002161320164145926,59742,14.3502,0.0564119510752129,53702.303984213206
Carbon,1002161320164145926,59743,14.3861,0.0565016138771482,53702.3094175812
Carbon,1002161320164145926,59720,14.3899,0.0573660472072699,53707.2175960299
Carbon,1002161320164145926,59721,14.3512,0.0564167962197575,53707.2229802082
Carbon,1002161320164145926,59722,14.384,0.0571435592915644,53707.22838302099
Carbon,1002161320164145926,59723,14.3506,0.0584289764097371,53707.2337556249
Carbon,1002161320164145926,59724,14.3166,0.0571783354357426,53713.1535496297
Carbon,1002161320164145926,59725,14.3485,0.0579067202534191,53713.1599998381
Carbon,1002161320164145926,59726,14.3672,0.0580071518348926,53713.1664401968
Carbon,1002161320164145926,59727,14.3743,0.0608618735775596,53713.1729024421
Carbon,1002161320164145926,59728,14.3835,0.0565064606019683,53735.278242338
Carbon,1002161320164145926,59729,14.3773,0.0565963662534838,53735.28502959481
Carbon,1002161320164145926,59730,14.3828,0.0594908445452326,53735.29182206
Carbon,1002161320164145926,59731,14.3075,0.0620099861291525,53735.29857158571
Carbon,1002161320164145926,59776,14.3659,0.0563342201742619,53742.1550689121
Carbon,1002161320164145926,59777,14.3595,0.0562831757674814,53742.1634024191
Carbon,1002161320164145926,59778,14.3616,0.0562904841549474,53742.171700752304
Carbon,1002161320164145926,59779,14.3528,0.0562448692625714,53742.1800196874
Carbon,1002161320164145926,59780,14.395,0.0566528126054531,53757.1905641668
Carbon,1002161320164145926,59781,14.4109,0.0567115224578539,53757.1985531016
Carbon,1002161320164145926,59782,14.3968,0.0566626540418092,53757.206582441904
Carbon,1002161320164145926,59783,14.3946,0.0566446457766985,53757.2145372336
Carbon,1002161320164145926,59784,14.4293,0.0569309016069747,53762.1584231597
Carbon,1002161320164145926,59785,14.4726,0.0575811940347876,53762.1668124651
Carbon,1002161320164145926,59786,14.4411,0.0574268939503725,53762.1751781595
Carbon,1002161320164145926,59787,14.4661,0.0573520827069645,53762.1836018404
Carbon,1002161320164145926,59772,14.5124,0.0572537313113731,53768.2114025811
Carbon,1002161320164145926,59773,14.4938,0.0571801103709653,53768.2178549883
Carbon,1002161320164145926,59774,14.4985,0.0571928341346787,53768.22432277769
Carbon,1002161320164145926,59775,14.5043,0.0570676765626829,53768.2307830555
Carbon,1002161320164145926,59788,14.6294,0.0580276745521933,53797.1348562846
Carbon,1002161320164145926,59789,14.6466,0.0580820417945887,53797.1414490971
Carbon,1002161320164145926,59790,14.6271,0.0580804630115567,53797.1481152778
Carbon,1002161320164145926,59791,14.6306,0.0580857009142851,53797.1546918866
Carbon,1002161320164145926,59812,16.1828,0.0713709507772331,54003.3043924538
Carbon,1002161320164145926,59813,16.1816,0.071374838118435,54003.3128343057
Carbon,1002161320164145926,59814,16.1423,0.0707262944153161,54003.3212793982
Carbon,1002161320164145926,59815,16.1855,0.0711481328012977,54003.3297248497
Carbon,1002161320164145926,59800,16.1902,0.0716214529514893,54010.41392567151
Carbon,1002161320164145926,59801,16.2437,0.072294016848148,54010.418878576296
Carbon,1002161320164145926,59802,16.2103,0.0719513657682577,54010.4237704859
Carbon,1002161320164145926,59803,16.2256,0.0720009728351605,54010.4286930673
Carbon,1002161320164145926,59804,16.2074,0.0715667498856679,54031.374795706
Carbon,1002161320164145926,59805,16.1908,0.0711268066672169,54031.38345817151
Carbon,1002161320164145926,59806,16.236,0.0717129968782725,54031.3920920487
Carbon,1002161320164145926,59807,16.2287,0.0717576083673661,54031.4006099422
Carbon,1002161320164145926,59808,16.2085,0.0742076343317648,54037.355590845
Carbon,1002161320164145926,59809,16.239,0.0736684818566048,54037.3620635071
Carbon,1002161320164145926,59810,16.2138,0.0732509977561116,54037.368553992805
Carbon,1002161320164145926,59811,16.2032,0.0719129946174538,54037.3749878705
Carbon,1002161320164145926,59792,16.159000000000002,0.0707496506324905,54054.247295682806
Carbon,1002161320164145926,59793,16.1932,0.0711296100301262,54054.254303900496
Carbon,1002161320164145926,59794,16.1374,0.0703715057188801,54054.2613096875
Carbon,1002161320164145926,59795,16.1325,0.0704161838292205,54054.2683314583
Carbon,1002161320164145926,59796,16.0712,0.0697400165847279,54060.2276052199
Carbon,1002161320164145926,59797,16.0956,0.0701098642406719,54060.234204618304
