Classification,ID,observation_id,Mag,Magerr,MJD
LPV,1202251040804151905,284870,17.301,0.0914027236162851,55350.2456081365
LPV,1202251040804151905,284869,17.3906,0.0933563606120904,55350.23760232661
LPV,1202251040804151905,284868,17.7695,0.103521843674099,55242.4905237267
LPV,1202251040804151905,284910,18.0609,0.115454454407205,55674.436445150495
LPV,1202251040804151905,284866,17.895,0.109171316093452,55242.47192068309
LPV,1202251040804151905,284871,17.2873,0.089367361252737,55350.2537121414
LPV,1202251040804151905,284867,18.084,0.115440231960941,55242.481207835495
LPV,1202251040804151905,284872,17.3885,0.09336776638477,55350.261773981605
LPV,1202251040804151905,284878,17.1328,0.085260318104806,55365.1965242825
LPV,1202251040804151905,284874,17.308,0.0951268125726258,55356.2560086921
LPV,1202251040804151905,284875,17.3029,0.0913836560883196,55356.2612387152
LPV,1202251040804151905,284876,17.3286,0.0895741642678277,55356.2664146642
LPV,1202251040804151905,284877,17.1306,0.0853626482380758,55365.1919583217
LPV,1202251040804151905,284865,18.1582,0.118927735651075,55242.4626455209
LPV,1202251040804151905,284879,17.2049,0.0868342238352958,55365.2010146761
LPV,1202251040804151905,284880,17.0973,0.0850242453732204,55365.2055937154
LPV,1202251040804151905,284873,17.2188,0.0904182026948817,55356.2507823841
LPV,1202251040804151905,284864,18.588,0.141406384785778,55295.3683974189
LPV,1202251040804151905,284858,17.4765,0.0945618165729944,54975.2689785417
LPV,1202251040804151905,284862,18.5401,0.1375894182712169,55295.3567989352
LPV,1202251040804151905,284932,17.2818,0.0892649170481208,55634.44988280071
LPV,1202251040804151905,284849,17.4881,0.0952240415513148,54911.3935543983
LPV,1202251040804151905,284931,17.230999999999998,0.0879710977764249,55634.4412286575
LPV,1202251040804151905,284850,17.4219,0.094098640308259,54911.39957749981
LPV,1202251040804151905,284851,17.3213,0.0902625581336813,54964.2740095602
LPV,1202251040804151905,284852,17.2433,0.0883614459808404,54964.2812784491
LPV,1202251040804151905,284853,17.3379,0.0905305328082249,54964.288575243205
LPV,1202251040804151905,284854,17.4482,0.0932170283414593,54964.2957579051
LPV,1202251040804151905,284855,17.465999999999998,0.0943552532320286,54975.249294919005
LPV,1202251040804151905,284856,17.4374,0.0939237665138567,54975.2558286921
LPV,1202251040804151905,284857,17.589000000000002,0.0979422731151694,54975.2624906018
LPV,1202251040804151905,284881,18.5432,0.138765111534998,55270.4289926621
LPV,1202251040804151905,284859,17.5512,0.0973242523473949,54981.23583706
LPV,1202251040804151905,284860,17.6407,0.0999796577082901,54981.25030634269
LPV,1202251040804151905,284861,18.5558,0.138567231016778,55295.3509940854
LPV,1202251040804151905,284863,18.6793,0.145705349192543,55295.3625832521
LPV,1202251040804151905,284911,18.0498,0.114979130694167,55674.4444697453
LPV,1202251040804151905,284882,18.4804,0.135177917619501,55270.4360226505
LPV,1202251040804151905,284884,18.5985,0.142780806248458,55270.450110057805
LPV,1202251040804151905,284890,17.936,0.109064632990749,55321.3677069442
LPV,1202251040804151905,284891,18.0571,0.1127503496255449,55321.3735576966
LPV,1202251040804151905,284892,17.9248,0.108267378397439,55321.3793067942
LPV,1202251040804151905,284893,17.7077,0.10088045540746,55329.3687279746
LPV,1202251040804151905,284894,17.7623,0.102838114501235,55329.3757289238
LPV,1202251040804151905,284895,17.7411,0.102336136982497,55329.3827232523
LPV,1202251040804151905,284896,17.6201,0.0981217082031394,55329.3897048612
LPV,1202251040804151905,284897,17.4672,0.0944235862444682,55338.2802665625
LPV,1202251040804151905,284898,17.5812,0.0966985524101199,55338.2877019099
LPV,1202251040804151905,284889,17.9716,0.110689451082934,55321.3619321529
LPV,1202251040804151905,284899,17.6138,0.0985181850465167,55338.2952374769
LPV,1202251040804151905,284901,18.0864,0.1165529468156319,55654.4224072108
LPV,1202251040804151905,284902,17.8404,0.106666668363006,55654.4269965626
LPV,1202251040804151905,284903,17.678,0.100949553882901,55654.431588576204
LPV,1202251040804151905,284904,17.7022,0.1017640852428689,55654.4361578934
LPV,1202251040804151905,284905,17.7835,0.0944800488131918,55663.3866137153
LPV,1202251040804151905,284906,17.8725,0.0971573717488509,55663.39422276599
LPV,1202251040804151905,284907,17.8379,0.0960983506171247,55663.401890532405
LPV,1202251040804151905,284908,17.8118,0.0953133276863237,55663.4095744215
LPV,1202251040804151905,284909,18.0128,0.113429357787724,55674.428385254505
LPV,1202251040804151905,284900,17.4503,0.0945756144387917,55338.302779213096
LPV,1202251040804151905,284888,18.6097,0.143847214228595,55276.4590468169
LPV,1202251040804151905,284887,18.6591,0.145247547171965,55276.4521001852
LPV,1202251040804151905,284886,18.6426,0.144973397622228,55276.4451268287
LPV,1202251040804151905,284930,17.1515,0.0860279309698968,55634.43249531231
LPV,1202251040804151905,284929,17.3117,0.0900471519637279,55634.4237741437
LPV,1202251040804151905,284928,16.9715,0.0819797008069903,55621.5090717245
LPV,1202251040804151905,284927,17.0608,0.0839307696583,55621.5032456252
LPV,1202251040804151905,284926,16.9169,0.0808413417057126,55621.497385602
LPV,1202251040804151905,284925,17.0048,0.0826943556456461,55621.4915266321
LPV,1202251040804151905,284924,18.6648,0.146975125434869,55717.2883191318
LPV,1202251040804151905,284923,18.4995,0.1370980637750249,55717.2790336576
LPV,1202251040804151905,284922,18.3238,0.127691298554224,55717.269740821794
LPV,1202251040804151905,284921,18.7492,0.1524424606247099,55717.2604448497
LPV,1202251040804151905,284920,16.7749,0.086266453637992,55577.5295813309
LPV,1202251040804151905,284885,18.5891,0.142096648390054,55276.438185405
LPV,1202251040804151905,284919,16.6054,0.0819919081265457,55577.522216852005
LPV,1202251040804151905,284918,16.7655,0.0856944988018832,55577.5148509259
LPV,1202251040804151905,284848,17.5021,0.0949661380470757,54911.3874443751
LPV,1202251040804151905,284917,16.8412,0.0875251488701287,55577.5075019214
LPV,1202251040804151905,284916,16.7091,0.0768582978827341,55603.50298690981
LPV,1202251040804151905,284915,16.7374,0.0773697014056036,55603.4959918172
LPV,1202251040804151905,284914,16.7167,0.0769950213676244,55603.48903854151
LPV,1202251040804151905,284913,16.772000000000002,0.0780091162344669,55603.4820849537
LPV,1202251040804151905,284912,18.1815,0.120811282263386,55674.452539375096
LPV,1202251040804151905,284883,18.802,0.154599994656871,55270.4430972221
LPV,1202251040804151905,284847,17.4974,0.0931492611581295,54911.38143122661
LPV,1202251040804151905,284831,17.887,0.127891122930818,55044.169856331
LPV,1202251040804151905,284845,17.5795,0.0979993265031098,55004.2950308798
LPV,1112291120524129371,151340,14.3724,0.055593474759135,53843.1904696412
LPV,1112291120524129371,151341,14.7814,0.0572648636081464,53786.2349940972
LPV,1112291120524129371,151342,14.8391,0.0578689420904669,53786.242704201504
LPV,1112291120524129371,151343,14.7366,0.0567546250216122,53786.25042067139
LPV,1112291120524129371,151344,14.7958,0.0573372187830905,53786.2581223263
LPV,1112291120524129371,151345,15.2724,0.0602608769428575,53745.4570209491
LPV,1112291120524129371,151346,15.2864,0.0604213641050367,53745.46568515059
LPV,1112291120524129371,151347,15.2507,0.0601347065057073,53745.4743260997
LPV,1112291120524129371,151348,15.2549,0.0602038741308314,53745.4829772222
LPV,1112291120524129371,151349,15.0721,0.0586820201242865,53755.278841898304
LPV,1202251040804151905,284805,17.0403,0.0821628574498964,54510.464925081
LPV,1112291120524129371,151350,15.1192,0.0589729012746143,53755.2858027779
LPV,1112291120524129371,151351,15.2092,0.0613215629830776,53755.2927531251
LPV,1112291120524129371,151352,15.1937,0.0648998369302586,53755.299700462696
LPV,1112291120524129371,151353,14.0696,0.0703410323618252,53903.1691757756
LPV,1112291120524129371,151354,14.1237,0.0710951877217126,53903.170164594805
LPV,1112291120524129371,151355,14.0593,0.0702023557317834,53903.1711963657
LPV,1112291120524129371,151356,14.0759,0.0703796237187153,53903.172203587805
LPV,1112291120524129371,151357,14.5638,0.0561730083601777,53817.1633914122
LPV,1112291120524129371,151358,14.5314,0.0560892972898617,53817.1719224998
LPV,1112291120524129371,151359,14.532,0.0559802725995863,53817.18047153951
LPV,1112291120524129371,151339,14.3263,0.0553866053769468,53843.182343889006
LPV,1112291120524129371,151360,14.5077,0.0558494493184675,53817.1890202314
LPV,1112291120524129371,151338,14.3646,0.0555123396955075,53843.17428956
LPV,1112291120524129371,151336,14.4584,0.0557157440589186,53827.2127532177
LPV,1112291120524129371,151315,15.3721,0.0604944995179606,53731.4356899075
LPV,1112291120524129371,151316,15.2555,0.0597714456984419,53500.171703808
LPV,1112291120524129371,151317,15.2235,0.0595888027099035,53500.1793631017
LPV,1112291120524129371,151318,15.2568,0.0597858771809864,53500.18702725691
LPV,1112291120524129371,151319,15.2539,0.0598037434872544,53500.194701365705
LPV,1112291120524129371,151320,15.5158,0.0621642299137819,53521.152635139006
LPV,1112291120524129371,151321,15.4671,0.0618190532875174,53521.1607281366
LPV,1112291120524129371,151322,15.5088,0.0621896061666269,53521.1688501854
LPV,1112291120524129371,151323,15.4922,0.0621576862527114,53521.1769920252
LPV,1112291120524129371,151324,15.7533,0.0642643512023492,53684.493466527696
LPV,1112291120524129371,151325,15.8478,0.0653329566878477,53684.498283206
LPV,1112291120524129371,151326,15.7699,0.0647862022319774,53684.5031314814
LPV,1112291120524129371,151327,15.6729,0.0644175425481026,53684.507963194505
LPV,1112291120524129371,151328,15.7478,0.0641719662546346,53703.4548710762
LPV,1112291120524129371,151329,15.9785,0.0725704485966403,53671.46891060191
LPV,1112291120524129371,151330,15.9225,0.0698597591553978,53671.47322516191
LPV,1112291120524129371,151331,15.7904,0.0649290932058429,53671.47758001139
LPV,1112291120524129371,151332,15.8331,0.0666684529947911,53671.4820359028
LPV,1112291120524129371,151333,14.4421,0.055697653906407,53827.1963668633
LPV,1112291120524129371,151334,14.4403,0.0556712225368954,53827.2019226966
LPV,1112291120524129371,151335,14.4409,0.055639099969603,53827.2073014351
LPV,1112291120524129371,151337,14.3794,0.0555730296983069,53843.1662499188
LPV,1202251040804151905,284846,17.7702,0.105731416345014,55004.3023742708
LPV,1202251040804151905,284933,17.3901,0.0921679031084064,55647.3886864237
LPV,1202251040804151905,284686,19.8277,0.300000475327178,53537.2307754053
LPV,1202251040804151905,284823,17.2,0.0796252012154198,54941.3890943405
LPV,1202251040804151905,284824,17.227,0.080020762949586,54941.3963363891
LPV,1202251040804151905,284825,17.1501,0.0788655645517916,54941.4035271414
LPV,1202251040804151905,284826,17.1502,0.0790854218572899,54941.4107787962
LPV,1202251040804151905,284827,17.3318,0.090165918698225,54949.3879751042
LPV,1202251040804151905,284828,17.1859,0.0865244295502954,54949.3959853356
