Classification,ID,observation_id,Mag,Magerr,MJD
OH-IR,803241120274139158,89053,12.955,0.0524213707660621,53466.1218508566
OH-IR,803241120274139158,89054,12.9919,0.0525038635412368,53466.126765682806
OH-IR,803241120274139158,89055,12.9825,0.0524825979942829,53466.13180193309
OH-IR,803241120274139158,89056,12.9764,0.0524689269123841,53466.1366968518
OH-IR,803241120274139158,89094,14.2909,0.0564280525409233,53643.45555180541
OH-IR,803241120274139158,89337,14.311,0.0565008236431443,53643.4604527429
OH-IR,803241120274139158,89338,14.3039,0.056453661243802,53643.4689891664
OH-IR,803241120274139158,89339,14.2997,0.0564004497237431,53643.4775848496
OH-IR,803241120274139158,89340,14.3253,0.0565249841121057,53643.4861029862
OH-IR,803241120274139158,89086,14.3846,0.0575523060281946,53648.4410662614
OH-IR,803241120274139158,89087,14.4164,0.0575984066322556,53648.446122882
OH-IR,803241120274139158,89088,14.3659,0.0576645801697761,53648.4510588888
OH-IR,803241120274139158,89089,14.3605,0.057533875469119,53648.45596260441
OH-IR,803241120274139158,89090,14.6457,0.0578245720467561,53668.3757505324
OH-IR,803241120274139158,89091,14.6737,0.0579696631720703,53668.383861817005
OH-IR,803241120274139158,89092,14.6812,0.0580197113112237,53668.3919897685
OH-IR,803241120274139158,89093,14.6667,0.0579495520927893,53668.4001507061
OH-IR,803241120274139158,89073,14.7971,0.0621174092102223,53676.3276047572
OH-IR,803241120274139158,89074,14.8649,0.0637029497381605,53676.3341167709
OH-IR,803241120274139158,89075,14.8584,0.0664247195071759,53676.3406070257
OH-IR,803241120274139158,89076,14.8227,0.064095464164778,53676.3471115045
OH-IR,803241120274139158,89077,14.9845,0.0615189650141549,53684.43702009269
OH-IR,803241120274139158,89078,15.0162,0.0628555417737737,53684.442426030095
OH-IR,803241120274139158,89079,14.9898,0.0607721489123295,53684.4478169214
OH-IR,803241120274139158,89080,14.9693,0.0600322806943463,53684.4532249421
OH-IR,803241120274139158,89081,15.1083,0.0611329533281002,53695.4326421758
OH-IR,803241120274139158,89082,15.173,0.0616620826325981,53699.2892352198
OH-IR,803241120274139158,89083,15.2011,0.0619038813473369,53699.296182442005
OH-IR,803241120274139158,89084,15.1683,0.0615640826583376,53699.3031422799
OH-IR,803241120274139158,89085,15.2105,0.0619049025733864,53699.3100727084
OH-IR,803241120274139158,89057,15.3001,0.0628600827990517,53705.3660472455
OH-IR,803241120274139158,89058,15.3245,0.0633712051153422,53705.3763597915
OH-IR,803241120274139158,89059,15.2946,0.0627680539112583,53705.386713321794
OH-IR,803241120274139158,89060,15.2678,0.0624070572842839,53705.39711822901
OH-IR,803241120274139158,89061,15.3754,0.0629766135885325,53711.2693320951
OH-IR,803241120274139158,89062,15.3817,0.0629990996799049,53711.27684172481
OH-IR,803241120274139158,89063,15.356,0.0627573999355167,53711.28435690981
OH-IR,803241120274139158,89064,15.3458,0.0624458143449982,53711.291837835706
OH-IR,803241120274139158,89065,15.6209,0.0656332419793156,53725.3766797683
OH-IR,803241120274139158,89066,15.6456,0.0658485355789006,53725.383675138895
OH-IR,803241120274139158,89067,15.6034,0.0655756972502578,53725.390689837805
OH-IR,803241120274139158,89068,15.6533,0.0661543347453929,53725.39771043981
OH-IR,803241120274139158,89069,15.6647,0.0656606844055085,53731.2647645138
OH-IR,803241120274139158,89070,15.6329,0.0654476483353752,53731.2733576503
OH-IR,803241120274139158,89071,15.6712,0.0657161846387455,53731.281981227
OH-IR,803241120274139158,89072,15.6539,0.0656907806223064,53731.290584317
OH-IR,803241120274139158,89110,15.6018,0.0653440228537762,53757.2172320485
OH-IR,803241120274139158,89111,15.6921,0.0663492842813222,53757.2233625581
OH-IR,803241120274139158,89112,15.7116,0.0664339008778267,53757.229502210896
OH-IR,803241120274139158,89113,15.707,0.0665130932742291,53757.2356356252
OH-IR,803241120274139158,89114,15.6347,0.0657735672988382,53763.2180816433
OH-IR,803241120274139158,89115,15.5535,0.0649853922322352,53763.2266775579
OH-IR,803241120274139158,89116,15.6736,0.0663912335128244,53763.2353686113
OH-IR,803241120274139158,89117,15.6328,0.0658368384561733,53763.2440445023
OH-IR,803241120274139158,89109,14.9931,0.0608735961070769,53789.1731311227
OH-IR,803241120274139158,89118,13.6865,0.0555075053999509,53817.1336335649
OH-IR,803241120274139158,89119,13.7126,0.0565312173889726,53817.1399023958
OH-IR,803241120274139158,89120,13.6446,0.0556882962061573,53817.146157569405
OH-IR,803241120274139158,89121,13.6821,0.055798094531693,53817.1523708451
OH-IR,803241120274139158,89095,13.0656,0.0523810817650289,53827.1143078124
