Classification,ID,observation_id,Mag,Magerr,MJD
AGN/CV,1205251120814137249,299969,19.1709,0.18465632466794,55654.4418276041
AGN/CV,1205251120814137249,299970,19.4305,0.209294143301483,55654.446945798605
AGN/CV,1205251120814137249,299973,19.1247,0.1806875644218639,55674.4654951273
AGN/CV,1205251120814137249,299972,19.6602,0.234792862755176,55654.4582559262
AGN/CV,1205251120814137249,299974,19.5764,0.225049933360526,55674.4724219907
AGN/CV,1205251120814137249,299975,19.5251,0.2193508951893999,55674.4792400464
AGN/CV,1205251120814137249,299971,19.9507,0.2729423626096139,55654.4520625579
AGN/CV,1205251120814137249,299968,19.2708,0.197276875441534,55339.2572158449
AGN/CV,1205251120814137249,299964,19.2427,0.186198846880261,55332.3322575232
AGN/CV,1205251120814137249,299966,19.8199,0.254783210182558,55339.2457491667
AGN/CV,1205251120814137249,299965,19.215,0.188867065944614,55339.2400954166
AGN/CV,1205251120814137249,299963,19.109,0.174795379383998,55332.3242236804
AGN/CV,1205251120814137249,299962,19.2044,0.181584958684895,55332.3161166553
AGN/CV,1205251120814137249,299961,19.1749,0.178842963238601,55332.3080603355
AGN/CV,1205251120814137249,299976,19.1007,0.178677440859423,55674.4861937617
AGN/CV,1205251120814137249,299960,18.9128,0.1588267202391539,55322.366992488496
AGN/CV,1205251120814137249,299959,19.3593,0.19650896321088,55322.360638113205
AGN/CV,1205251120814137249,299967,19.4373,0.212338188427808,55339.251503750194
AGN/CV,1205251120814137249,299977,19.1603,0.181443421951067,55597.5190261342
AGN/CV,1205251120814137249,299987,19.2914,0.195583414443665,55720.2779729976
AGN/CV,1205251120814137249,299978,19.059,0.173254964613975,55597.5282932641
AGN/CV,1205251120814137249,299997,19.1362,0.181661325319946,55647.4664183217
AGN/CV,1205251120814137249,299996,18.8921,0.162396637808049,55647.45851420151
AGN/CV,1205251120814137249,299995,19.473,0.213728636227305,55647.4506930905
AGN/CV,1205251120814137249,299994,19.1726,0.184806365835512,55647.4428210417
AGN/CV,1205251120814137249,299993,19.7922,0.251268550691762,55626.495282430704
AGN/CV,1205251120814137249,299992,19.5414,0.2211384990982789,55626.4900241899
AGN/CV,1205251120814137249,299991,19.3319,0.1994471883805069,55626.4848572454
AGN/CV,1205251120814137249,299990,19.0872,0.177553194638361,55626.4797267825
AGN/CV,1205251120814137249,299998,19.1586,0.15909644134489,55683.365394316905
AGN/CV,1205251120814137249,299989,19.6648,0.235364733013977,55720.2929741433
AGN/CV,1205251120814137249,299986,19.4967,0.21627101946628,55720.2704531364
AGN/CV,1205251120814137249,299985,20.7118,0.414316008887527,55713.209970312695
AGN/CV,1205251120814137249,299984,19.9373,0.2710119572358839,55713.2048774539
AGN/CV,1205251120814137249,299983,18.9914,0.169887596169769,55566.5425719791
AGN/CV,1205251120814137249,299982,19.2346,0.193437391342263,55566.5379119329
AGN/CV,1205251120814137249,299981,19.1769,0.214322756693332,55566.5332579976
AGN/CV,1205251120814137249,299980,18.9379,0.166733919929038,55597.5467915624
AGN/CV,1205251120814137249,299979,19.4255,0.205187967136463,55597.5376016321
AGN/CV,1205251120814137249,299988,18.9542,0.167012356088922,55720.285474896
AGN/CV,1205251120814137249,299958,18.9434,0.161863079707918,55322.354323646105
AGN/CV,1205251120814137249,299936,18.8629,0.161452279383299,55303.4009343172
AGN/CV,1205251120814137249,299956,18.9231,0.156909979464166,55272.48593589111
AGN/CV,1205251120814137249,299931,19.0635,0.169852774075412,55293.4231841434
AGN/CV,1205251120814137249,299930,19.2476,0.182886736593595,55293.4166847221
AGN/CV,1205251120814137249,299929,19.0456,0.16687293802706,55293.4103030441
AGN/CV,1205251120814137249,299928,19.8091,0.2729423626096139,55095.1170113771
AGN/CV,1205251120814137249,299927,19.2297,0.199625354705034,55095.1121135531
AGN/CV,1205251120814137249,299926,20.05,0.305173676602214,55095.1022682753
AGN/CV,1205251120814137249,299925,19.4664,0.207116569560492,54978.333189363606
AGN/CV,1205251120814137249,299924,19.9028,0.257166763561349,54978.3248601388
AGN/CV,1205251120814137249,299932,18.7827,0.148611210364538,55293.42966770849
AGN/CV,1205251120814137249,299923,20.0426,0.275996557941867,54978.3169089118
AGN/CV,1205251120814137249,299921,20.7393,0.4154753092358549,54976.3627372105
AGN/CV,1205251120814137249,299920,20.3121,0.315626431187405,54918.4345079283
AGN/CV,1205251120814137249,299919,20.1839,0.293130307635327,54918.42960837951
AGN/CV,1205251120814137249,299918,19.5067,0.2076204686757859,54918.4247674304
AGN/CV,1205251120814137249,299917,20.6565,0.383026619532366,54918.4198683449
AGN/CV,1205251120814137249,299999,19.4162,0.178936299566356,55683.3758304979
AGN/CV,1205251120814137249,299916,19.5136,0.204993384628154,54908.450786192
AGN/CV,1205251120814137249,299915,20.0571,0.27150996895716,54908.437841342806
AGN/CV,1205251120814137249,299922,19.4973,0.208966297625818,54978.3086714582
AGN/CV,1205251120814137249,299933,19.0359,0.176116725759081,55303.3748268518
AGN/CV,1205251120814137249,299934,19.1019,0.180773415764685,55303.383514687404
AGN/CV,1205251120814137249,299935,19.4097,0.209276841503976,55303.3922225577
AGN/CV,1205251120814137249,299955,18.9197,0.156600565013825,55272.478988171104
AGN/CV,1205251120814137249,299954,19.8462,0.246103528487268,55272.4720800812
AGN/CV,1205251120814137249,299953,19.4661,0.202875574543071,55272.4651261689
AGN/CV,1205251120814137249,299952,19.5036,0.2100596645938739,55365.2475350001
AGN/CV,1205251120814137249,299951,19.6342,0.2235021523559869,55365.2424198147
AGN/CV,1205251120814137249,299950,19.4555,0.2038381623323239,55365.2372816783
AGN/CV,1205251120814137249,299949,19.0902,0.172241032720102,55365.2322106017
AGN/CV,1205251120814137249,299948,19.6092,0.228452754514871,55358.2944626273
AGN/CV,1205251120814137249,299947,19.3725,0.202469689581506,55358.28810847231
AGN/CV,1205251120814137249,299946,19.152,0.181803429599501,55358.2818423035
AGN/CV,1205251120814137249,299945,19.5015,0.216079418999689,55358.275569757
AGN/CV,1205251120814137249,299944,19.5925,0.225924351316362,55350.3197313426
AGN/CV,1205251120814137249,299943,19.7923,0.246591214273273,55350.3128880556
AGN/CV,1205251120814137249,299942,19.5795,0.2210973618462769,55350.3059940972
AGN/CV,1205251120814137249,299941,19.6243,0.2262549903720969,55350.299130428095
AGN/CV,1205251120814137249,299940,19.2745,0.191600023196656,55382.2090700232
AGN/CV,1205251120814137249,299939,19.0212,0.169575093821363,55382.2004601969
AGN/CV,1205251120814137249,299938,19.3219,0.1962551274522319,55382.19189864581
AGN/CV,1205251120814137249,299937,19.972,0.270099649551328,55382.183404282194
