AGN_min; 0,61; 0,85; 0,65; 0,72; 0,85; 0,86; 0,85; 0,84; 0,78; 0,825; 0,815; 0,73; 0,77; 0,87; 0,86
AGN_max; 1,40; 1,355; 1,46; 1,40; 1,47; 1,44; 1,41; 1,415; 1,41; 1,43; 1,37; 1,46; 1,39; 1,40; 1,43
Blazar_min; 0,73; 0,70; 0,72; 0,79; 0,70; 0,72; 0,78; 0,78; 0,87; 0,96; 0,76; 0,84; 0,71; 0,87; 0,73
Blazar_max; 1,43; 1,44; 1,48; 1,48; 1,39; 1,29; 1,34; 1,38; 1,34; 1,34; 1,43; 1,45; 1,59; 1,41; 1,41
CV_min; 0,77; 0,84; 0,77; 0,62; 0,79; 0,765; 0,84; 0,67; 0,76; 0,785; 0,70; 0,77; 0,78; 0,79; 0,80
CV_max; 1,41; 1,55; 1,35; 1,39; 1,44; 1,390; 1,37; 1,42; 1,42; 1,335; 1,48; 1,42; 1,44; 1,42; 1,34
Flare_min; 0,86; 0,89; 0,82; 0,71; 0,73; 0,79; 0,70; 0,770; 0,77; 0,80; 0,74; 0,80; 0,81; 0,91; 0,74
Flare_max; 1,35; 1,34; 1,30; 1,41; 1,40; 1,40; 1,37; 1,385; 1,42; 1,26; 1,37; 1,41; 1,39; 1,39; 1,34
HPM_min; 0,72; 0,8; 0,71; 0,83; 0,73; 0,815;;;;;;;;;
HPM_max; 1,40; 1,5; 1,39; 1,36; 1,40; 1,385;;;;;;;;;
LPV_min; 0,72; 0,780; 0,70; 0,90; 0,73;;;;;;;;;;
LPV_max; 1,50; 1,435; 1,39; 1,49; 1,42;;;;;;;;;;
SN_min; 0,78; 0,78; 0,75; 0,79; 0,80; 0,79; 0,72; 0,84; 0,76; 0,75; 0,71; 0,75; 0,76; 0,77; 0,80
SN_max; 1,38; 1,39; 1,45; 1,34; 1,35; 1,32; 1,39; 1,31; 1,50; 1,41; 1,39; 1,38; 1,47; 1,43; 1,38
Var_min; 0,70; 0,79; 0,78; 0,74; 0,79; 0,81; 0,74; 0,71; 0,72; 0,66; 0,73;;;;
Var_max; 1,38; 1,38; 1,41; 1,42; 1,47; 1,32; 1,46; 1,46; 1,51; 1,45; 1,42;;;;
