Tipo,Id,Alpha
CV,1006010010864157554,2.48
CV,1005311150714116242,2.46
CV,1005201181164141253,2.39
CV,1005221320424122472,2.59
CV,910191071174104173,2.58
CV,1005240041134109468,2.55
CV,1005190041194148620,2.28
CV,806111011244115704,2.13
CV,1011081230504119481,2.65
CV,1010091290054106863,2.27
CV,909221290444111464,2.63
CV,812311430294141229,2.87
CV,909231150844135447,2.45
CV,1009161290084131880,2.3
CV,1401011150654104472,2.57
CV,1006241041184114393,2.48
CV,1006101261134132083,2.27
CV,909301120444140061,2.59
CV,1006091120874119140,2.44
CV,1206171090824101743,2.51
CV,1206130011154131139,2.22
CV,1111161070254130896,2.39
CV,711081290154130838,2.48
CV,909281260174155619,2.4
CV,1006151091174130008,2.04
CV,805051090884151996,2.19
CV,1002021180433134193,2.14
CV,1002171210554127510,2.57
CV,810301010244104094,2.45
CV,1003251350714125894,2.25
CV,811181230214118218,2.62
CV,1003211090274101591,2.39
CV,909281091224142365,2.72
CV,1012031380394141353,3.0
CV,1001081010294129406,2.71
CV,812011090264120935,2.7
CV,811071180194106816,2.55
CV,1003131090504109287,2.46
CV,810280041154254954,2.43
CV,1002191010224113664,2.43
CV,912201320034112505,2.52
CV,1011281090284102188,2.27
CV,1012031380384133667,2.26
CV,1007071040904138258,2.57
CV,1007051120874117074,2.24
CV,804281380714144091,2.74
CV,1309141091134108958,2.52
CV,1601211180424141819,2.82
CV,1512011120274154794,2.54
CV,1609061180834144443,2.29
CV,1511201320364108282,2.6
CV,1210040041124149411,2.67
CV,1202261260634124245,2.53
CV,1402181150484139804,2.8
CV,1512081320174144890,2.58
CV,1309161230834137353,2.38
CV,1311061010294118517,2.64
CV,1210041071154132318,2.45
CV,1209231181154135712,2.39
CV,1308280011124107474,2.54
CV,1603171180824123493,2.28
CV,1112310040214127410,2.32
CV,1506191041214138198,2.18
CV,1112271181144146614,2.09
CV,1602261380334117968,2.64
CV,1111221040194145937,2.59
CV,1505201041144118399,2.51
CV,1502101260114122698,2.09
CV,1311061180184119159,2.39
CV,1312141121244117885,2.9
CV,1411171260164123577,2.57
CV,1306041151144145470,2.29
CV,1212031040224128186,2.76
CV,1211201210114118379,2.54
CV,1211121320074127003,2.42
CV,1210141071214123192,2.21
CV,1102081010474158290,2.37
CV,804271320724132848,2.24
CV,804271290604119048,2.15
CV,1102261230574109109,2.62
CV,909181260024124094,2.54
CV,909111151154137804,2.35
CV,801301090584117826,2.48
CV,711151400724125465,2.33
CV,909171181144114493,2.23
CV,902190010214113713,2.33
CV,802271010724123230,2.73
CV,1110191350734141576,2.86
CV,904021180524130924,3.02
CV,903161150564121087,2.42
CV,804161350364129084,2.33
CV,901181040484106855,2.46
CV,1101111090594116852,2.15
CV,804281090894104463,2.59
CV,1111011291114153567,2.33
CV,903291210784144089,2.36
CV,904011350464101119,2.19
CV,903010040574110292,2.21
CV,904161120864151070,2.42
CV,902221430424130546,2.6
CV,1110211321074152444,2.41
CV,803290010784136859,2.63
CV,906221181134169457,2.36
CV,1104041230404151904,2.64
CV,803051320384107064,2.67
CV,1105130041134149159,2.55
CV,906011070824151155,2.58
CV,902131210184107976,2.48
CV,906271291124104954,2.57
CV,902051150894115932,2.25
CV,1012101320084121519,1.97
CV,809291090244127420,2.86
CV,1005131230814132089,2.62
CV,810241070224132530,2.2
CV,812201090074110332,2.44
CV,911190011164102559,2.81
CV,910261210054114797,2.4
CV,910221120483113936,2.19
CV,1005061090834125680,2.45
CV,911160011254116087,2.33
CV,1002181010254112737,2.54
CV,904291090564105879,2.42
CV,904181120584134509,2.1
CV,802091040494149927,2.32
CV,905280091124153385,1.98
